2021-10-06 16:47:51 startup archives install
2021-12-20 11:33:28 install libgssapi-krb5-2:amd64 <none> 1.17-6ubuntu4.1
2021-12-20 11:33:28 status half-installed libgssapi-krb5-2:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:28 status unpacked libgssapi-krb5-2:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:28 install libpsl5:amd64 <none> 0.21.0-1ubuntu1
2021-12-20 11:33:28 status half-installed libpsl5:amd64 0.21.0-1ubuntu1
2021-12-20 11:33:28 status unpacked libpsl5:amd64 0.21.0-1ubuntu1
2021-12-20 11:33:29 install libxau6:amd64 <none> 1:1.0.9-0ubuntu1
2021-12-20 11:33:29 status half-installed libxau6:amd64 1:1.0.9-0ubuntu1
2021-12-20 11:33:29 status unpacked libxau6:amd64 1:1.0.9-0ubuntu1
2021-12-20 11:33:29 install libxdmcp6:amd64 <none> 1:1.1.3-0ubuntu1
2021-12-20 11:33:29 status half-installed libxdmcp6:amd64 1:1.1.3-0ubuntu1
2021-12-20 11:33:29 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu1
2021-12-20 11:33:29 install libxcb1:amd64 <none> 1.14-2
2021-12-20 11:33:29 status half-installed libxcb1:amd64 1.14-2
2021-12-20 11:33:29 status unpacked libxcb1:amd64 1.14-2
2021-12-20 11:33:29 install libx11-data:all <none> 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:29 status half-installed libx11-data:all 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:29 status unpacked libx11-data:all 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:29 install libx11-6:amd64 <none> 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:29 status half-installed libx11-6:amd64 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:29 status unpacked libx11-6:amd64 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:29 install libxext6:amd64 <none> 2:1.3.4-0ubuntu1
2021-12-20 11:33:29 status half-installed libxext6:amd64 2:1.3.4-0ubuntu1
2021-12-20 11:33:29 status unpacked libxext6:amd64 2:1.3.4-0ubuntu1
2021-12-20 11:33:29 install libxmuu1:amd64 <none> 2:1.1.3-0ubuntu1
2021-12-20 11:33:29 status half-installed libxmuu1:amd64 2:1.1.3-0ubuntu1
2021-12-20 11:33:29 status unpacked libxmuu1:amd64 2:1.1.3-0ubuntu1
2021-12-20 11:33:29 install openssh-client:amd64 <none> 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:29 status half-installed openssh-client:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:29 status unpacked openssh-client:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:29 install publicsuffix:all <none> 20200303.0012-1
2021-12-20 11:33:29 status half-installed publicsuffix:all 20200303.0012-1
2021-12-20 11:33:29 status unpacked publicsuffix:all 20200303.0012-1
2021-12-20 11:33:29 install wget:amd64 <none> 1.20.3-1ubuntu2
2021-12-20 11:33:29 status half-installed wget:amd64 1.20.3-1ubuntu2
2021-12-20 11:33:29 status unpacked wget:amd64 1.20.3-1ubuntu2
2021-12-20 11:33:29 install xauth:amd64 <none> 1:1.1-0ubuntu1
2021-12-20 11:33:29 status half-installed xauth:amd64 1:1.1-0ubuntu1
2021-12-20 11:33:29 status unpacked xauth:amd64 1:1.1-0ubuntu1
2021-12-20 11:33:29 install libwrap0:amd64 <none> 7.6.q-30
2021-12-20 11:33:29 status half-installed libwrap0:amd64 7.6.q-30
2021-12-20 11:33:29 status unpacked libwrap0:amd64 7.6.q-30
2021-12-20 11:33:29 install ncurses-term:all <none> 6.2-0ubuntu2
2021-12-20 11:33:29 status half-installed ncurses-term:all 6.2-0ubuntu2
2021-12-20 11:33:30 status unpacked ncurses-term:all 6.2-0ubuntu2
2021-12-20 11:33:30 install openssh-sftp-server:amd64 <none> 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:30 status half-installed openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:30 status unpacked openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:30 install openssh-server:amd64 <none> 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:30 status half-installed openssh-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:30 status unpacked openssh-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:30 install python3-certifi:all <none> 2019.11.28-1
2021-12-20 11:33:30 status half-installed python3-certifi:all 2019.11.28-1
2021-12-20 11:33:30 status unpacked python3-certifi:all 2019.11.28-1
2021-12-20 11:33:30 install python3-chardet:all <none> 3.0.4-4build1
2021-12-20 11:33:30 status half-installed python3-chardet:all 3.0.4-4build1
2021-12-20 11:33:30 status unpacked python3-chardet:all 3.0.4-4build1
2021-12-20 11:33:30 install python3-idna:all <none> 2.8-1
2021-12-20 11:33:30 status half-installed python3-idna:all 2.8-1
2021-12-20 11:33:30 status unpacked python3-idna:all 2.8-1
2021-12-20 11:33:30 install python3-urllib3:all <none> 1.25.8-2ubuntu0.1
2021-12-20 11:33:30 status half-installed python3-urllib3:all 1.25.8-2ubuntu0.1
2021-12-20 11:33:30 status unpacked python3-urllib3:all 1.25.8-2ubuntu0.1
2021-12-20 11:33:30 install python3-requests:all <none> 2.22.0-2ubuntu1
2021-12-20 11:33:30 status half-installed python3-requests:all 2.22.0-2ubuntu1
2021-12-20 11:33:30 status unpacked python3-requests:all 2.22.0-2ubuntu1
2021-12-20 11:33:30 install python3-distro:all <none> 1.4.0-1
2021-12-20 11:33:30 status half-installed python3-distro:all 1.4.0-1
2021-12-20 11:33:30 status unpacked python3-distro:all 1.4.0-1
2021-12-20 11:33:30 install ssh-import-id:all <none> 5.10-0ubuntu1
2021-12-20 11:33:30 status half-installed ssh-import-id:all 5.10-0ubuntu1
2021-12-20 11:33:30 status unpacked ssh-import-id:all 5.10-0ubuntu1
2021-12-20 11:33:30 startup packages configure
2021-12-20 11:33:30 configure systemd-sysv:amd64 245.4-4ubuntu3.13 <none>
2021-12-20 11:33:30 status unpacked systemd-sysv:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:30 status half-configured systemd-sysv:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:30 status installed systemd-sysv:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:30 configure libxau6:amd64 1:1.0.9-0ubuntu1 <none>
2021-12-20 11:33:30 status unpacked libxau6:amd64 1:1.0.9-0ubuntu1
2021-12-20 11:33:30 status half-configured libxau6:amd64 1:1.0.9-0ubuntu1
2021-12-20 11:33:30 status installed libxau6:amd64 1:1.0.9-0ubuntu1
2021-12-20 11:33:30 configure libkeyutils1:amd64 1.6-6ubuntu1 <none>
2021-12-20 11:33:30 status unpacked libkeyutils1:amd64 1.6-6ubuntu1
2021-12-20 11:33:30 status half-configured libkeyutils1:amd64 1.6-6ubuntu1
2021-12-20 11:33:30 status installed libkeyutils1:amd64 1.6-6ubuntu1
2021-12-20 11:33:30 configure libpsl5:amd64 0.21.0-1ubuntu1 <none>
2021-12-20 11:33:30 status unpacked libpsl5:amd64 0.21.0-1ubuntu1
2021-12-20 11:33:30 status half-configured libpsl5:amd64 0.21.0-1ubuntu1
2021-12-20 11:33:30 status installed libpsl5:amd64 0.21.0-1ubuntu1
2021-12-20 11:33:30 configure mime-support:all 3.64ubuntu1 <none>
2021-12-20 11:33:30 status unpacked mime-support:all 3.64ubuntu1
2021-12-20 11:33:30 status half-configured mime-support:all 3.64ubuntu1
2021-12-20 11:33:30 status installed mime-support:all 3.64ubuntu1
2021-12-20 11:33:30 configure wget:amd64 1.20.3-1ubuntu2 <none>
2021-12-20 11:33:30 status unpacked wget:amd64 1.20.3-1ubuntu2
2021-12-20 11:33:30 status half-configured wget:amd64 1.20.3-1ubuntu2
2021-12-20 11:33:30 status installed wget:amd64 1.20.3-1ubuntu2
2021-12-20 11:33:30 configure xdg-user-dirs:amd64 0.17-2ubuntu1 <none>
2021-12-20 11:33:30 status unpacked xdg-user-dirs:amd64 0.17-2ubuntu1
2021-12-20 11:33:30 status half-configured xdg-user-dirs:amd64 0.17-2ubuntu1
2021-12-20 11:33:30 status installed xdg-user-dirs:amd64 0.17-2ubuntu1
2021-12-20 11:33:30 configure libmagic-mgc:amd64 1:5.38-4 <none>
2021-12-20 11:33:30 status unpacked libmagic-mgc:amd64 1:5.38-4
2021-12-20 11:33:30 status half-configured libmagic-mgc:amd64 1:5.38-4
2021-12-20 11:33:30 status installed libmagic-mgc:amd64 1:5.38-4
2021-12-20 11:33:30 configure libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.4 <none>
2021-12-20 11:33:30 status unpacked libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.4
2021-12-20 11:33:30 status half-configured libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.4
2021-12-20 11:33:30 status installed libglib2.0-0:amd64 2.64.6-1~ubuntu20.04.4
2021-12-20 11:33:30 configure distro-info-data:all 0.43ubuntu1.9 <none>
2021-12-20 11:33:30 status unpacked distro-info-data:all 0.43ubuntu1.9
2021-12-20 11:33:30 status half-configured distro-info-data:all 0.43ubuntu1.9
2021-12-20 11:33:30 status installed distro-info-data:all 0.43ubuntu1.9
2021-12-20 11:33:30 configure libicu66:amd64 66.1-2ubuntu2.1 <none>
2021-12-20 11:33:30 status unpacked libicu66:amd64 66.1-2ubuntu2.1
2021-12-20 11:33:30 status half-configured libicu66:amd64 66.1-2ubuntu2.1
2021-12-20 11:33:30 status installed libicu66:amd64 66.1-2ubuntu2.1
2021-12-20 11:33:30 configure libsqlite3-0:amd64 3.31.1-4ubuntu0.2 <none>
2021-12-20 11:33:30 status unpacked libsqlite3-0:amd64 3.31.1-4ubuntu0.2
2021-12-20 11:33:30 status half-configured libsqlite3-0:amd64 3.31.1-4ubuntu0.2
2021-12-20 11:33:30 status installed libsqlite3-0:amd64 3.31.1-4ubuntu0.2
2021-12-20 11:33:30 configure libmagic1:amd64 1:5.38-4 <none>
2021-12-20 11:33:30 status unpacked libmagic1:amd64 1:5.38-4
2021-12-20 11:33:30 status half-configured libmagic1:amd64 1:5.38-4
2021-12-20 11:33:30 status installed libmagic1:amd64 1:5.38-4
2021-12-20 11:33:30 configure libnss-systemd:amd64 245.4-4ubuntu3.13 <none>
2021-12-20 11:33:30 status unpacked libnss-systemd:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:30 status half-configured libnss-systemd:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:30 status installed libnss-systemd:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:30 configure krb5-locales:all 1.17-6ubuntu4.1 <none>
2021-12-20 11:33:30 status unpacked krb5-locales:all 1.17-6ubuntu4.1
2021-12-20 11:33:30 status half-configured krb5-locales:all 1.17-6ubuntu4.1
2021-12-20 11:33:30 status installed krb5-locales:all 1.17-6ubuntu4.1
2021-12-20 11:33:30 configure file:amd64 1:5.38-4 <none>
2021-12-20 11:33:30 status unpacked file:amd64 1:5.38-4
2021-12-20 11:33:30 status half-configured file:amd64 1:5.38-4
2021-12-20 11:33:30 status installed file:amd64 1:5.38-4
2021-12-20 11:33:30 configure libcbor0.6:amd64 0.6.0-0ubuntu1 <none>
2021-12-20 11:33:30 status unpacked libcbor0.6:amd64 0.6.0-0ubuntu1
2021-12-20 11:33:30 status half-configured libcbor0.6:amd64 0.6.0-0ubuntu1
2021-12-20 11:33:30 status installed libcbor0.6:amd64 0.6.0-0ubuntu1
2021-12-20 11:33:30 configure libkrb5support0:amd64 1.17-6ubuntu4.1 <none>
2021-12-20 11:33:30 status unpacked libkrb5support0:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:30 status half-configured libkrb5support0:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:30 status installed libkrb5support0:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:30 configure libglib2.0-data:all 2.64.6-1~ubuntu20.04.4 <none>
2021-12-20 11:33:30 status unpacked libglib2.0-data:all 2.64.6-1~ubuntu20.04.4
2021-12-20 11:33:30 status half-configured libglib2.0-data:all 2.64.6-1~ubuntu20.04.4
2021-12-20 11:33:30 status installed libglib2.0-data:all 2.64.6-1~ubuntu20.04.4
2021-12-20 11:33:30 configure libwrap0:amd64 7.6.q-30 <none>
2021-12-20 11:33:30 status unpacked libwrap0:amd64 7.6.q-30
2021-12-20 11:33:30 status half-configured libwrap0:amd64 7.6.q-30
2021-12-20 11:33:30 status installed libwrap0:amd64 7.6.q-30
2021-12-20 11:33:30 configure libx11-data:all 2:1.6.9-2ubuntu1.2 <none>
2021-12-20 11:33:30 status unpacked libx11-data:all 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:30 status half-configured libx11-data:all 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:30 status installed libx11-data:all 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:30 configure libdbus-1-3:amd64 1.12.16-2ubuntu2.1 <none>
2021-12-20 11:33:30 status unpacked libdbus-1-3:amd64 1.12.16-2ubuntu2.1
2021-12-20 11:33:30 status half-configured libdbus-1-3:amd64 1.12.16-2ubuntu2.1
2021-12-20 11:33:30 status installed libdbus-1-3:amd64 1.12.16-2ubuntu2.1
2021-12-20 11:33:30 configure dbus:amd64 1.12.16-2ubuntu2.1 <none>
2021-12-20 11:33:30 status unpacked dbus:amd64 1.12.16-2ubuntu2.1
2021-12-20 11:33:30 status half-configured dbus:amd64 1.12.16-2ubuntu2.1
2021-12-20 11:33:30 status installed dbus:amd64 1.12.16-2ubuntu2.1
2021-12-20 11:33:30 configure xz-utils:amd64 5.2.4-1ubuntu1 <none>
2021-12-20 11:33:30 status unpacked xz-utils:amd64 5.2.4-1ubuntu1
2021-12-20 11:33:30 status half-configured xz-utils:amd64 5.2.4-1ubuntu1
2021-12-20 11:33:31 status installed xz-utils:amd64 5.2.4-1ubuntu1
2021-12-20 11:33:31 configure sudo:amd64 1.8.31-1ubuntu1.2 <none>
2021-12-20 11:33:31 status unpacked sudo:amd64 1.8.31-1ubuntu1.2
2021-12-20 11:33:31 status half-configured sudo:amd64 1.8.31-1ubuntu1.2
2021-12-20 11:33:31 status installed sudo:amd64 1.8.31-1ubuntu1.2
2021-12-20 11:33:31 configure ucf:all 3.0038+nmu1 <none>
2021-12-20 11:33:31 status unpacked ucf:all 3.0038+nmu1
2021-12-20 11:33:31 status half-configured ucf:all 3.0038+nmu1
2021-12-20 11:33:31 status installed ucf:all 3.0038+nmu1
2021-12-20 11:33:31 configure libk5crypto3:amd64 1.17-6ubuntu4.1 <none>
2021-12-20 11:33:31 status unpacked libk5crypto3:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:31 status half-configured libk5crypto3:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:31 status installed libk5crypto3:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:31 configure dmsetup:amd64 2:1.02.167-1ubuntu1 <none>
2021-12-20 11:33:31 status unpacked dmsetup:amd64 2:1.02.167-1ubuntu1
2021-12-20 11:33:31 status half-configured dmsetup:amd64 2:1.02.167-1ubuntu1
2021-12-20 11:33:31 status installed dmsetup:amd64 2:1.02.167-1ubuntu1
2021-12-20 11:33:31 configure libpam-systemd:amd64 245.4-4ubuntu3.13 <none>
2021-12-20 11:33:31 status unpacked libpam-systemd:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:31 status half-configured libpam-systemd:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:31 status installed libpam-systemd:amd64 245.4-4ubuntu3.13
2021-12-20 11:33:31 configure libgirepository-1.0-1:amd64 1.64.1-1~ubuntu20.04.1 <none>
2021-12-20 11:33:31 status unpacked libgirepository-1.0-1:amd64 1.64.1-1~ubuntu20.04.1
2021-12-20 11:33:31 status half-configured libgirepository-1.0-1:amd64 1.64.1-1~ubuntu20.04.1
2021-12-20 11:33:31 status installed libgirepository-1.0-1:amd64 1.64.1-1~ubuntu20.04.1
2021-12-20 11:33:31 configure libkrb5-3:amd64 1.17-6ubuntu4.1 <none>
2021-12-20 11:33:31 status unpacked libkrb5-3:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:31 status half-configured libkrb5-3:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:31 status installed libkrb5-3:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:31 configure libmpdec2:amd64 2.4.2-3 <none>
2021-12-20 11:33:31 status unpacked libmpdec2:amd64 2.4.2-3
2021-12-20 11:33:31 status half-configured libmpdec2:amd64 2.4.2-3
2021-12-20 11:33:31 status installed libmpdec2:amd64 2.4.2-3
2021-12-20 11:33:31 configure libfido2-1:amd64 1.3.1-1ubuntu2 <none>
2021-12-20 11:33:31 status unpacked libfido2-1:amd64 1.3.1-1ubuntu2
2021-12-20 11:33:31 status half-configured libfido2-1:amd64 1.3.1-1ubuntu2
2021-12-20 11:33:31 status installed libfido2-1:amd64 1.3.1-1ubuntu2
2021-12-20 11:33:31 configure openssl:amd64 1.1.1f-1ubuntu2.10 <none>
2021-12-20 11:33:31 status unpacked openssl:amd64 1.1.1f-1ubuntu2.10
2021-12-20 11:33:31 status half-configured openssl:amd64 1.1.1f-1ubuntu2.10
2021-12-20 11:33:31 status installed openssl:amd64 1.1.1f-1ubuntu2.10
2021-12-20 11:33:31 configure libbsd0:amd64 0.10.0-1 <none>
2021-12-20 11:33:31 status unpacked libbsd0:amd64 0.10.0-1
2021-12-20 11:33:31 status half-configured libbsd0:amd64 0.10.0-1
2021-12-20 11:33:31 status installed libbsd0:amd64 0.10.0-1
2021-12-20 11:33:31 configure readline-common:all 8.0-4 <none>
2021-12-20 11:33:31 status unpacked readline-common:all 8.0-4
2021-12-20 11:33:31 status half-configured readline-common:all 8.0-4
2021-12-20 11:33:31 status installed readline-common:all 8.0-4
2021-12-20 11:33:31 configure publicsuffix:all 20200303.0012-1 <none>
2021-12-20 11:33:31 status unpacked publicsuffix:all 20200303.0012-1
2021-12-20 11:33:31 status half-configured publicsuffix:all 20200303.0012-1
2021-12-20 11:33:31 status installed publicsuffix:all 20200303.0012-1
2021-12-20 11:33:31 configure libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.1 <none>
2021-12-20 11:33:31 status unpacked libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.1
2021-12-20 11:33:31 status half-configured libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.1
2021-12-20 11:33:31 status installed libxml2:amd64 2.9.10+dfsg-5ubuntu0.20.04.1
2021-12-20 11:33:31 configure ncurses-term:all 6.2-0ubuntu2 <none>
2021-12-20 11:33:31 status unpacked ncurses-term:all 6.2-0ubuntu2
2021-12-20 11:33:31 status half-configured ncurses-term:all 6.2-0ubuntu2
2021-12-20 11:33:31 status installed ncurses-term:all 6.2-0ubuntu2
2021-12-20 11:33:31 configure libxdmcp6:amd64 1:1.1.3-0ubuntu1 <none>
2021-12-20 11:33:31 status unpacked libxdmcp6:amd64 1:1.1.3-0ubuntu1
2021-12-20 11:33:31 status half-configured libxdmcp6:amd64 1:1.1.3-0ubuntu1
2021-12-20 11:33:31 status installed libxdmcp6:amd64 1:1.1.3-0ubuntu1
2021-12-20 11:33:31 configure libxcb1:amd64 1.14-2 <none>
2021-12-20 11:33:31 status unpacked libxcb1:amd64 1.14-2
2021-12-20 11:33:31 status half-configured libxcb1:amd64 1.14-2
2021-12-20 11:33:31 status installed libxcb1:amd64 1.14-2
2021-12-20 11:33:31 configure libedit2:amd64 3.1-20191231-1 <none>
2021-12-20 11:33:31 status unpacked libedit2:amd64 3.1-20191231-1
2021-12-20 11:33:31 status half-configured libedit2:amd64 3.1-20191231-1
2021-12-20 11:33:31 status installed libedit2:amd64 3.1-20191231-1
2021-12-20 11:33:31 configure libreadline8:amd64 8.0-4 <none>
2021-12-20 11:33:31 status unpacked libreadline8:amd64 8.0-4
2021-12-20 11:33:31 status half-configured libreadline8:amd64 8.0-4
2021-12-20 11:33:31 status installed libreadline8:amd64 8.0-4
2021-12-20 11:33:31 configure ca-certificates:all 20210119~20.04.2 <none>
2021-12-20 11:33:31 status unpacked ca-certificates:all 20210119~20.04.2
2021-12-20 11:33:31 status half-configured ca-certificates:all 20210119~20.04.2
2021-12-20 11:33:33 status installed ca-certificates:all 20210119~20.04.2
2021-12-20 11:33:33 status triggers-pending ca-certificates:all 20210119~20.04.2
2021-12-20 11:33:33 configure shared-mime-info:amd64 1.15-1 <none>
2021-12-20 11:33:33 status unpacked shared-mime-info:amd64 1.15-1
2021-12-20 11:33:33 status half-configured shared-mime-info:amd64 1.15-1
2021-12-20 11:33:34 status installed shared-mime-info:amd64 1.15-1
2021-12-20 11:33:34 configure libgssapi-krb5-2:amd64 1.17-6ubuntu4.1 <none>
2021-12-20 11:33:34 status unpacked libgssapi-krb5-2:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:34 status half-configured libgssapi-krb5-2:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:34 status installed libgssapi-krb5-2:amd64 1.17-6ubuntu4.1
2021-12-20 11:33:34 configure gir1.2-glib-2.0:amd64 1.64.1-1~ubuntu20.04.1 <none>
2021-12-20 11:33:34 status unpacked gir1.2-glib-2.0:amd64 1.64.1-1~ubuntu20.04.1
2021-12-20 11:33:34 status half-configured gir1.2-glib-2.0:amd64 1.64.1-1~ubuntu20.04.1
2021-12-20 11:33:34 status installed gir1.2-glib-2.0:amd64 1.64.1-1~ubuntu20.04.1
2021-12-20 11:33:34 configure libx11-6:amd64 2:1.6.9-2ubuntu1.2 <none>
2021-12-20 11:33:34 status unpacked libx11-6:amd64 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:34 status half-configured libx11-6:amd64 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:34 status installed libx11-6:amd64 2:1.6.9-2ubuntu1.2
2021-12-20 11:33:34 configure libpython3.8-stdlib:amd64 3.8.10-0ubuntu1~20.04.2 <none>
2021-12-20 11:33:34 status unpacked libpython3.8-stdlib:amd64 3.8.10-0ubuntu1~20.04.2
2021-12-20 11:33:34 status half-configured libpython3.8-stdlib:amd64 3.8.10-0ubuntu1~20.04.2
2021-12-20 11:33:34 status installed libpython3.8-stdlib:amd64 3.8.10-0ubuntu1~20.04.2
2021-12-20 11:33:34 configure python3.8:amd64 3.8.10-0ubuntu1~20.04.2 <none>
2021-12-20 11:33:34 status unpacked python3.8:amd64 3.8.10-0ubuntu1~20.04.2
2021-12-20 11:33:34 status half-configured python3.8:amd64 3.8.10-0ubuntu1~20.04.2
2021-12-20 11:33:35 status installed python3.8:amd64 3.8.10-0ubuntu1~20.04.2
2021-12-20 11:33:35 configure libxmuu1:amd64 2:1.1.3-0ubuntu1 <none>
2021-12-20 11:33:35 status unpacked libxmuu1:amd64 2:1.1.3-0ubuntu1
2021-12-20 11:33:35 status half-configured libxmuu1:amd64 2:1.1.3-0ubuntu1
2021-12-20 11:33:35 status installed libxmuu1:amd64 2:1.1.3-0ubuntu1
2021-12-20 11:33:35 configure libpython3-stdlib:amd64 3.8.2-0ubuntu2 <none>
2021-12-20 11:33:35 status unpacked libpython3-stdlib:amd64 3.8.2-0ubuntu2
2021-12-20 11:33:35 status half-configured libpython3-stdlib:amd64 3.8.2-0ubuntu2
2021-12-20 11:33:35 status installed libpython3-stdlib:amd64 3.8.2-0ubuntu2
2021-12-20 11:33:35 configure openssh-client:amd64 1:8.2p1-4ubuntu0.3 <none>
2021-12-20 11:33:35 status unpacked openssh-client:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:35 status half-configured openssh-client:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:35 status installed openssh-client:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:35 configure libxext6:amd64 2:1.3.4-0ubuntu1 <none>
2021-12-20 11:33:35 status unpacked libxext6:amd64 2:1.3.4-0ubuntu1
2021-12-20 11:33:35 status half-configured libxext6:amd64 2:1.3.4-0ubuntu1
2021-12-20 11:33:35 status installed libxext6:amd64 2:1.3.4-0ubuntu1
2021-12-20 11:33:35 configure python3:amd64 3.8.2-0ubuntu2 <none>
2021-12-20 11:33:35 status unpacked python3:amd64 3.8.2-0ubuntu2
2021-12-20 11:33:35 status half-configured python3:amd64 3.8.2-0ubuntu2
2021-12-20 11:33:35 status installed python3:amd64 3.8.2-0ubuntu2
2021-12-20 11:33:35 configure python3-six:all 1.14.0-2 <none>
2021-12-20 11:33:35 status unpacked python3-six:all 1.14.0-2
2021-12-20 11:33:35 status half-configured python3-six:all 1.14.0-2
2021-12-20 11:33:35 status installed python3-six:all 1.14.0-2
2021-12-20 11:33:35 configure python3-certifi:all 2019.11.28-1 <none>
2021-12-20 11:33:35 status unpacked python3-certifi:all 2019.11.28-1
2021-12-20 11:33:35 status half-configured python3-certifi:all 2019.11.28-1
2021-12-20 11:33:36 status installed python3-certifi:all 2019.11.28-1
2021-12-20 11:33:36 configure python3-gi:amd64 3.36.0-1 <none>
2021-12-20 11:33:36 status unpacked python3-gi:amd64 3.36.0-1
2021-12-20 11:33:36 status half-configured python3-gi:amd64 3.36.0-1
2021-12-20 11:33:36 status installed python3-gi:amd64 3.36.0-1
2021-12-20 11:33:36 configure python3-idna:all 2.8-1 <none>
2021-12-20 11:33:36 status unpacked python3-idna:all 2.8-1
2021-12-20 11:33:36 status half-configured python3-idna:all 2.8-1
2021-12-20 11:33:36 status installed python3-idna:all 2.8-1
2021-12-20 11:33:36 configure python3-urllib3:all 1.25.8-2ubuntu0.1 <none>
2021-12-20 11:33:36 status unpacked python3-urllib3:all 1.25.8-2ubuntu0.1
2021-12-20 11:33:36 status half-configured python3-urllib3:all 1.25.8-2ubuntu0.1
2021-12-20 11:33:36 status installed python3-urllib3:all 1.25.8-2ubuntu0.1
2021-12-20 11:33:36 configure xauth:amd64 1:1.1-0ubuntu1 <none>
2021-12-20 11:33:36 status unpacked xauth:amd64 1:1.1-0ubuntu1
2021-12-20 11:33:36 status half-configured xauth:amd64 1:1.1-0ubuntu1
2021-12-20 11:33:36 status installed xauth:amd64 1:1.1-0ubuntu1
2021-12-20 11:33:36 configure lsb-release:all 11.1.0ubuntu2 <none>
2021-12-20 11:33:36 status unpacked lsb-release:all 11.1.0ubuntu2
2021-12-20 11:33:36 status half-configured lsb-release:all 11.1.0ubuntu2
2021-12-20 11:33:36 status installed lsb-release:all 11.1.0ubuntu2
2021-12-20 11:33:36 configure python3-pkg-resources:all 45.2.0-1 <none>
2021-12-20 11:33:36 status unpacked python3-pkg-resources:all 45.2.0-1
2021-12-20 11:33:36 status half-configured python3-pkg-resources:all 45.2.0-1
2021-12-20 11:33:36 status installed python3-pkg-resources:all 45.2.0-1
2021-12-20 11:33:36 configure openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.3 <none>
2021-12-20 11:33:36 status unpacked openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:36 status half-configured openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:36 status installed openssh-sftp-server:amd64 1:8.2p1-4ubuntu0.3
2021-12-20 11:33:36 configure python3-dbus:amd64 1.2.16-1build1 <none>
2021-12-20 11:33:36 status unpacked python3-dbus:amd64 1.2.16-1build1
2021-12-20 11:33:36 status half-configured python3-dbus:amd64 1.2.16-1build1
2021-12-20 11:33:37 status installed python3-dbus:amd64 1.2.16-1build1
2021-12-20 11:33:37 configure python3-distro:all 1.4.0-1 <none>
2021-12-20 11:33:37 status unpacked python3-distro:all 1.4.0-1
2021-12-20 11:33:37 status half-configured python3-distro:all 1.4.0-1
2021-12-20 11:33:37 status installed python3-distro:all 1.4.0-1
2021-12-20 11:33:37 configure openssh-server:amd64 1:8.2p1-4ubuntu0.3 <none>
