# Generated from UNIDATA/UnicodeData.txt.
0x0000-0x0008 BN
0x0009 S
0x000A B
0x000B S
0x000C WS
0x000D B
0x000E-0x001B BN
0x001C-0x001E B
0x001F S
0x0020 WS
0x0021-0x0022 ON
0x0023-0x0025 ET
0x0026-0x002A ON
0x002B ES
0x002C CS
0x002D ES
0x002E-0x002F CS
0x0030-0x0039 EN
0x003A CS
0x003B-0x0040 ON
0x0041-0x005A L
0x005B-0x0060 ON
0x0061-0x007A L
0x007B-0x007E ON
0x007F-0x0084 BN
0x0085 B
0x0086-0x009F BN
0x00A0 CS
0x00A1 ON
0x00A2-0x00A5 ET
0x00A6-0x00A9 ON
0x00AA L
0x00AB-0x00AC ON
0x00AD BN
0x00AE-0x00AF ON
0x00B0-0x00B1 ET
0x00B2-0x00B3 EN
0x00B4 ON
0x00B5 L
0x00B6-0x00B8 ON
0x00B9 EN
0x00BA L
0x00BB-0x00BF ON
0x00C0-0x00D6 L
0x00D7 ON
0x00D8-0x00F6 L
0x00F7 ON
0x00F8-0x02B8 L
0x02B9-0x02BA ON
0x02BB-0x02C1 L
0x02C2-0x02CF ON
0x02D0-0x02D1 L
0x02D2-0x02DF ON
0x02E0-0x02E4 L
0x02E5-0x02ED ON
0x02EE L
0x02EF-0x02FF ON
0x0300-0x036F NSM
0x0370-0x0373 L
0x0374-0x0375 ON
0x0376-0x037D L
0x037E-0x0385 ON
0x0386 L
0x0387 ON
0x0388-0x03F5 L
0x03F6 ON
0x03F7-0x0482 L
0x0483-0x0489 NSM
0x048A-0x0589 L
0x058A ON
0x0591-0x05BD NSM
0x05BE R
0x05BF NSM
0x05C0 R
0x05C1-0x05C2 NSM
0x05C3 R
0x05C4-0x05C5 NSM
0x05C6 R
0x05C7 NSM
0x05D0-0x05F4 R
0x0600-0x0603 AN
0x0606-0x0607 ON
0x0608 AL
0x0609-0x060A ET
0x060B AL
0x060C CS
0x060D AL
0x060E-0x060F ON
0x0610-0x061A NSM
0x061B-0x064A AL
0x064B-0x065E NSM
0x0660-0x0669 AN
0x066A ET
0x066B-0x066C AN
0x066D-0x066F AL
0x0670 NSM
0x0671-0x06D5 AL
0x06D6-0x06DC NSM
0x06DD AN
0x06DE-0x06E4 NSM
0x06E5-0x06E6 AL
0x06E7-0x06E8 NSM
0x06E9 ON
0x06EA-0x06ED NSM
0x06EE-0x06EF AL
0x06F0-0x06F9 EN
0x06FA-0x070D AL
0x070F BN
0x0710 AL
0x0711 NSM
0x0712-0x072F AL
0x0730-0x074A NSM
0x074D-0x07A5 AL
0x07A6-0x07B0 NSM
0x07B1 AL
0x07C0-0x07EA R
0x07EB-0x07F3 NSM
0x07F4-0x07F5 R
0x07F6-0x07F9 ON
0x07FA-0x0815 R
0x0816-0x0819 NSM
0x081A R
0x081B-0x0823 NSM
0x0824 R
0x0825-0x0827 NSM
0x0828 R
0x0829-0x082D NSM
0x0830-0x083E R
0x0900-0x0902 NSM
0x0903-0x0939 L
0x093C NSM
0x093D-0x0940 L
0x0941-0x0948 NSM
0x0949-0x094C L
0x094D NSM
0x094E-0x0950 L
0x0951-0x0955 NSM
0x0958-0x0961 L
0x0962-0x0963 NSM
0x0964-0x097F L
0x0981 NSM
0x0982-0x09B9 L
0x09BC NSM
0x09BD-0x09C0 L
0x09C1-0x09C4 NSM
0x09C7-0x09CC L
0x09CD NSM
0x09CE-0x09E1 L
0x09E2-0x09E3 NSM
0x09E6-0x09F1 L
0x09F2-0x09F3 ET
