# Generated from UNIDATA/UnicodeData.txt.
0x0000-0x02FF 0
0x0300-0x0314 230
0x0315 232
0x0316-0x0319 220
0x031A 232
0x031B 216
0x031C-0x0320 220
0x0321-0x0322 202
0x0323-0x0326 220
0x0327-0x0328 202
0x0329-0x0333 220
0x0334-0x0338 1
0x0339-0x033C 220
0x033D-0x0344 230
0x0345 240
0x0346 230
0x0347-0x0349 220
0x034A-0x034C 230
0x034D-0x034E 220
0x034F 0
0x0350-0x0352 230
0x0353-0x0356 220
0x0357 230
0x0358 232
0x0359-0x035A 220
0x035B 230
0x035C 233
0x035D-0x035E 234
0x035F 233
0x0360-0x0361 234
0x0362 233
0x0363-0x036F 230
0x0370-0x0482 0
0x0483-0x0487 230
0x0488-0x058A 0
0x0591 220
0x0592-0x0595 230
0x0596 220
0x0597-0x0599 230
0x059A 222
0x059B 220
0x059C-0x05A1 230
0x05A2-0x05A7 220
0x05A8-0x05A9 230
0x05AA 220
0x05AB-0x05AC 230
0x05AD 222
0x05AE 228
0x05AF 230
0x05B0 10
0x05B1 11
0x05B2 12
0x05B3 13
0x05B4 14
0x05B5 15
0x05B6 16
0x05B7 17
0x05B8 18
0x05B9-0x05BA 19
0x05BB 20
0x05BC 21
0x05BD 22
0x05BE 0
0x05BF 23
0x05C0 0
0x05C1 24
0x05C2 25
0x05C3 0
0x05C4 230
0x05C5 220
0x05C6 0
0x05C7 18
0x05D0-0x060F 0
0x0610-0x0617 230
0x0618 30
0x0619 31
0x061A 32
0x061B-0x064A 0
0x064B 27
0x064C 28
0x064D 29
0x064E 30
0x064F 31
0x0650 32
0x0651 33
0x0652 34
0x0653-0x0654 230
0x0655-0x0656 220
0x0657-0x065B 230
0x065C 220
0x065D-0x065E 230
0x0660-0x066F 0
0x0670 35
0x0671-0x06D5 0
0x06D6-0x06DC 230
0x06DD-0x06DE 0
0x06DF-0x06E2 230
0x06E3 220
0x06E4 230
0x06E5-0x06E6 0
0x06E7-0x06E8 230
0x06E9 0
0x06EA 220
0x06EB-0x06EC 230
0x06ED 220
0x06EE-0x0710 0
0x0711 36
0x0712-0x072F 0
0x0730 230
0x0731 220
0x0732-0x0733 230
0x0734 220
0x0735-0x0736 230
0x0737-0x0739 220
0x073A 230
0x073B-0x073C 220
0x073D 230
0x073E 220
0x073F-0x0741 230
0x0742 220
0x0743 230
0x0744 220
0x0745 230
0x0746 220
0x0747 230
0x0748 220
0x0749-0x074A 230
0x074D-0x07EA 0
0x07EB-0x07F1 230
0x07F2 220
0x07F3 230
0x07F4-0x0815 0
0x0816-0x0819 230
0x081A 0
0x081B-0x0823 230
0x0824 0
0x0825-0x0827 230
0x0828 0
0x0829-0x082D 230
0x0830-0x0939 0
0x093C 7
0x093D-0x094C 0
0x094D 9
0x094E-0x0950 0
0x0951 230
0x0952 220
0x0953-0x0954 230
0x0955-0x09B9 0
0x09BC 7
0x09BD-0x09CC 0
0x09CD 9
0x09CE-0x0A39 0
0x0A3C 7
0x0A3E-0x0A4C 0
0x0A4D 9
0x0A51-0x0AB9 0
0x0ABC 7
0x0ABD-0x0ACC 0
0x0ACD 9
0x0AD0-0x0B39 0
0x0B3C 7
0x0B3D-0x0B4C 0
0x0B4D 9
0x0B56-0x0BCC 0
0x0BCD 9
0x0BD0-0x0C4C 0
0x0C4D 9
0x0C55 84
0x0C56 91
0x0C58-0x0CB9 0
